x,y,z,intensity,inputLabIndex,spotRadius2D,spotRadius3D,spheroidCenter_1,spheroidCenter_2,spheroidCenter_3,contourDist,contourDistUnit,imageId
391,915,4,3255.823,0,0,0,0,0,0,0,0,1
394,683,12,4890.441,0,0,0,0,0,0,0,0,1
394,877,15,2227.276,0,0,0,0,0,0,0,0,1
395,987,7,2848.59,0,0,0,0,0,0,0,0,1
397,931,26,3015.549,0,0,0,0,0,0,0,0,1
399,1101,17,1902.35,0,0,0,0,0,0,0,0,1
407,818,32,3113.359,0,0,0,0,0,0,0,0,1
408,1077,13,2391.623,0,0,0,0,0,0,0,0,1
409,460,13,2618.901,0,0,0,0,0,0,0,0,1
420,709,14,3304.01,0,0,0,0,0,0,0,0,1
421,938,4,2961.064,0,0,0,0,0,0,0,0,1
425,697,16,3964.614,0,0,0,0,0,0,0,0,1
425,913,5,3586.204,0,0,0,0,0,0,0,0,1
428,370,32,8369.577,0,0,0,0,0,0,0,0,1
436,1241,5,2871.018,0,0,0,0,0,0,0,0,1
440,718,11,3567.546,0,0,0,0,0,0,0,0,1
441,931,1,3053.04,0,0,0,0,0,0,0,0,1
447,1015,20,2409.76,0,0,0,0,0,0,0,0,1
449,803,23,5599.094,0,0,0,0,0,0,0,0,1
456,940,0,4542.83,0,0,0,0,0,0,0,0,1
458,455,15,2822.617,0,0,0,0,0,0,0,0,1
461,800,26,4712.365,0,0,0,0,0,0,0,0,1
461,883,48,2015.061,0,0,0,0,0,0,0,0,1
461,1074,6,3926.013,47,38.3885399566068,223.324159015544,487,1088,28,5.09902,6.628726,1
466,818,29,5156.113,0,0,0,0,0,0,0,0,1
476,1062,8,3680.845,47,36.7005449550821,203.339445263333,487,1088,28,6,7.8,1
480,260,36,4750.082,0,0,0,0,0,0,0,0,1
481,867,13,2531.877,0,0,0,0,0,0,0,0,1
488,895,5,3589.345,0,0,0,0,0,0,0,0,1
488,1032,11,2593.457,0,0,0,0,0,0,0,0,1
490,951,7,2815.679,0,0,0,0,0,0,0,0,1
490,1150,18,2725.549,0,0,0,0,0,0,0,0,1
493,560,5,2100.865,0,0,0,0,0,0,0,0,1
494,1029,12,2538.962,0,0,0,0,0,0,0,0,1
494,1166,23,2224.687,0,0,0,0,0,0,0,0,1
495,533,31,5469.558,0,0,0,0,0,0,0,0,1
496,926,45,3134.57,0,0,0,0,0,0,0,0,1
500,954,0,3004.473,0,0,0,0,0,0,0,0,1
501,1013,15,2820.068,0,0,0,0,0,0,0,0,1
502,883,46,3149.975,0,0,0,0,0,0,0,0,1
507,945,7,3331.142,0,0,0,0,0,0,0,0,1
510,1198,15,2603.685,0,0,0,0,0,0,0,0,1
512,1038,1,4637.598,0,0,0,0,0,0,0,0,1
514,344,20,5949.604,0,0,0,0,0,0,0,0,1
514,420,24,6124.843,0,0,0,0,0,0,0,0,1
516,678,2,4646.999,28,46.8901908718657,55.6658782379296,542,703,5,12.36932,16.08011,1
516,951,42,2844.086,0,0,0,0,0,0,0,0,1
520,876,40,3891.147,0,0,0,0,0,0,0,0,1
525,695,1,3861.651,28,24.4247824964727,46.8675794126388,542,703,5,29.96665,38.95664,1
529,859,3,4480.478,0,0,0,0,0,0,0,0,1
533,929,20,3667.992,0,0,0,0,0,0,0,0,1
547,630,15,4695.771,25,13,300.281534563816,553,638,45,7.28011,9.464143,1
547,906,6,2861.621,0,0,0,0,0,0,0,0,1
557,821,33,4113.811,0,0,0,0,0,0,0,0,1
558,695,1,5936.523,28,23.2551069659978,46.268779970948,542,703,5,36,46.8,1
563,984,19,3065.982,0,0,0,0,0,0,0,0,1
564,653,12,2147.807,0,0,0,0,0,0,0,0,1
564,899,28,3177.018,0,0,0,0,0,0,0,0,1
566,878,33,3462.521,0,0,0,0,0,0,0,0,1
567,1073,15,2366.411,0,0,0,0,0,0,0,0,1
568,827,35,2723.722,0,0,0,0,0,0,0,0,1
568,867,31,6183.712,0,0,0,0,0,0,0,0,1
568,996,18,4120.563,0,0,0,0,0,0,0,0,1
577,849,13,2949.978,0,0,0,0,0,0,0,0,1
578,577,44,3205.86,0,0,0,0,0,0,0,0,1
583,729,5,3670.291,28,63.1136276884795,63.1136276884795,542,703,5,4.123106,5.360037,1
592,570,31,4903.334,0,0,0,0,0,0,0,0,1
597,544,22,4058.418,0,0,0,0,0,0,0,0,1
597,938,34,3865.641,0,0,0,0,0,0,0,0,1
599,1157,10,3596.242,0,0,0,0,0,0,0,0,1
600,1103,2,2184.619,0,0,0,0,0,0,0,0,1
601,494,16,3698.819,0,0,0,0,0,0,0,0,1
609,787,24,4178.257,31,55.1849617196569,188.269434587774,638,818,42,4.123106,5.360037,1
617,398,11,3698.718,0,0,0,0,0,0,0,0,1
621,933,5,2190.369,0,0,0,0,0,0,0,0,1
635,654,8,3453.801,0,0,0,0,0,0,0,0,1
646,652,6,5724.62,0,0,0,0,0,0,0,0,1
653,888,44,2178.261,0,0,0,0,0,0,0,0,1
659,652,12,3437.494,0,0,0,0,0,0,0,0,1
662,712,1,5088.432,0,0,0,0,0,0,0,0,1
665,1195,0,2278.251,0,0,0,0,0,0,0,0,1
673,652,11,5097.035,0,0,0,0,0,0,0,0,1
675,916,4,2066.567,0,0,0,0,0,0,0,0,1
692,722,0,2389.859,0,0,0,0,0,0,0,0,1
696,735,38,2971.441,0,0,0,0,0,0,0,0,1
701,1223,4,3785.87,0,0,0,0,0,0,0,0,1
702,1157,25,2736.208,0,0,0,0,0,0,0,0,1
709,736,34,2618.676,0,0,0,0,0,0,0,0,1
711,920,6,3472.364,0,0,0,0,0,0,0,0,1
715,1144,18,5565.174,0,0,0,0,0,0,0,0,1
717,928,2,5673,0,0,0,0,0,0,0,0,1
718,207,10,3359.76,4,35.1,35.1,718,234,10,13,16.9,1
720,1223,20,2498.111,0,0,0,0,0,0,0,0,1
724,548,43,2662.838,0,0,0,0,0,0,0,0,1
728,1081,25,2057.616,0,0,0,0,0,0,0,0,1
735,95,6,2654.528,0,0,0,0,0,0,0,0,1
736,1251,2,3122.806,0,0,0,0,0,0,0,0,1
743,225,9,4669.889,4,34.5418586645247,35.9602558389119,718,234,10,11.7047,15.21611,1
745,1246,1,3787.085,0,0,0,0,0,0,0,0,1
749,578,7,5579.222,0,0,0,0,0,0,0,0,1
751,94,4,6965.601,0,0,0,0,0,0,0,0,1
756,1018,6,3357.15,0,0,0,0,0,0,0,0,1
758,1169,11,3858.3,0,0,0,0,0,0,0,0,1
761,1138,12,2860.056,0,0,0,0,0,0,0,0,1
762,7,32,3535.428,0,0,0,0,0,0,0,0,1
771,1114,7,3462.881,0,0,0,0,0,0,0,0,1
778,556,12,4514.792,0,0,0,0,0,0,0,0,1
780,1194,1,6723.905,0,0,0,0,0,0,0,0,1
790,561,43,3763.636,0,0,0,0,0,0,0,0,1
791,1199,2,3227.169,0,0,0,0,0,0,0,0,1
793,83,0,3309.876,0,0,0,0,0,0,0,0,1
795,102,0,3775.825,0,0,0,0,0,0,0,0,1
795,543,44,2955.772,0,0,0,0,0,0,0,0,1
796,287,24,5929.884,0,0,0,0,0,0,0,0,1
815,689,18,3047.426,0,0,0,0,0,0,0,0,1
818,490,26,4284.045,0,0,0,0,0,0,0,0,1
819,818,3,4126.567,34,15.65407295243,320.382661828008,818,830,35,9.055386,11.772,1
820,336,26,4720.233,0,0,0,0,0,0,0,0,1
820,704,49,2528.217,0,0,0,0,0,0,0,0,1
821,172,41,4279.833,0,0,0,0,0,0,0,0,1
822,200,43,5394.809,0,0,0,0,0,0,0,0,1
825,552,42,2702.687,0,0,0,0,0,0,0,0,1
828,316,50,4238.563,0,0,0,0,0,0,0,0,1
829,526,42,2591.71,0,0,0,0,0,0,0,0,1
830,569,42,3498.215,0,0,0,0,0,0,0,0,1
832,1002,48,2228.681,0,0,0,0,0,0,0,0,1
836,151,38,2523.999,0,0,0,0,0,0,0,0,1
840,977,33,3361.041,0,0,0,0,0,0,0,0,1
847,621,1,6933.261,0,0,0,0,0,0,0,0,1
876,26,12,6869.926,0,0,0,0,0,0,0,0,1
878,609,0,4992.579,0,0,0,0,0,0,0,0,1
879,704,4,3234.342,0,0,0,0,0,0,0,0,1
883,476,21,3527.097,0,0,0,0,0,0,0,0,1
897,755,40,2033.849,0,0,0,0,0,0,0,0,1
900,6,7,3515.887,0,0,0,0,0,0,0,0,1
910,744,1,3922.275,0,0,0,0,0,0,0,0,1
910,1196,12,2301.515,0,0,0,0,0,0,0,0,1
917,1,7,4139.606,0,0,0,0,0,0,0,0,1
923,14,8,4386.534,0,0,0,0,0,0,0,0,1
935,1114,11,2701.145,0,0,0,0,0,0,0,0,1
948,338,23,4494.628,9,7.00071424927486,12.2069652248214,943,340,22,15.29706,19.88618,1
954,453,25,3190.704,15,49.4171023027453,49.4171023027454,916,454,25,2,2.6,1
973,791,18,3584.977,32,26.8001865665148,28.6050694807756,981,810,19,7.28011,9.464143,1
983,1111,12,3050.916,0,0,0,0,0,0,0,0,1
985,436,42,2566.795,0,0,0,0,0,0,0,0,1
1003,492,18,4899.435,16,41.9237402911525,165.401330103479,971,488,34,2.828427,3.676955,1
1006,877,27,3151.891,38,28.6295302092088,113.664638300573,1005,899,38,14.31782,18.61317,1
1022,1189,21,3165.805,0,0,0,0,0,0,0,0,1
1036,1027,27,2641.442,0,0,0,0,0,0,0,0,1
