id,Center_1,Center_2,ConvexArea,ExcessKurtosis,MaxVal,Mean,MinVal,P2A,PodczeckShapes_1,PodczeckShapes_2,PodczeckShapes_3,PodczeckShapes_4,PodczeckShapes_5,Radius_1,Radius_2,Radius_3,Radius_4,Size,Skewness,StdDev,CenterZ,CenterZUnit,CenterUnit_1,CenterUnit_2,RadiusUnit_1,RadiusUnit_2,RadiusUnit_3,RadiusUnit_4,ConvexAreaUnit,SizeUnit,CenterEllipse_1,CenterEllipse_2,ExcessKurtosisEllipse,MaxValEllipse,MeanEllipse,MinValEllipse,SizeEllipse,SkewnessEllipse,StdDevEllipse,spotCount2D,spotCount3D,CenterRimHeight_3,PrincipalAxes1_1,PrincipalAxes1_2,PrincipalAxes1_3,PrincipalAxes2_1,PrincipalAxes2_2,PrincipalAxes2_3,PrincipalAxes3_1,PrincipalAxes3_2,PrincipalAxes3_3,AxesRadius_1,AxesRadius_2,AxesRadius_3,ellipsoidVolume,ellipsoidVolumeUnit,spheroidIndexStart,spheroidIndexStop,spheroidRange,depthPercentage,attenuationIndex,attenuationRange,depthType,spotCount,profileAttenuationRatio,imageId
1,942.367965367965,45.3073593073593,265.5,-1.12594386917047,3539,2060.51948051948,1025,1.55042093912453,0.721874999999998,0.574449872722306,1.44375,0.919119796355693,2.87631393053062,12.1973737524893,8.41943968657883,5.53383990417441,1.93377166511579,231,0.391869853090087,648.36271941191,16.4761904761905,164.761904761905,1225.07835497836,58.8995670995671,15.8565858782361,10.9452715925525,7.19399187542673,2.51390316465052,448.695,390.39,942,45,-1.01711007937496,3539,2077.89300411523,1071,243,0.354934428445976,611.448237533039,0,0,16,-0.602868466096263,-0.797840593468858,0,-0.797840593468858,0.602868466096263,0,0,0,1,11.4862278652038,6.94785128876492,1.19821514500797,400.545037809117,6769.21113897407,16,18,3,1,18,3,full,0,0.5,1
2,476.525714285714,105.024761904762,631,-0.399606668195447,1209,886.744761904762,598,1.97512589528685,0.579138225255973,0.440415685311051,1.15827645051195,0.737381690263645,2.89758454611794,20.6744729606234,13.1145084159437,3.25510936244103,4.58725540628872,525,0.227785899672506,111.815788719894,21.7390476190476,217.390476190476,619.483428571429,136.53219047619,26.8768148488104,17.0488609407268,4.23164217117334,5.96343202817533,1066.39,887.25,477,105,-0.154525951754624,1209,846.541213063764,420,643,-0.248534108824706,141.382237787376,0,0,22,-0.473026918259015,-0.881047975199069,0,-0.881047975199069,0.473026918259015,0,0,0,1,19.9017660521451,10.2494757601127,1.95983071779675,1674.558943708,28300.0461486652,21,25,5,1,25,5,full,0,0.5,1
3,776.148717948718,198.169230769231,210.5,-0.368668612951778,5194,3455.89743589744,1075,1.28299752223151,0.717532467532465,0.765676025541413,1.43506493506493,0.913590712293734,3.0013900125166,8.96993915325858,7.47127159678941,5.50237539102644,0.916223264485868,195,-0.356399235409808,843.267576704587,29,290,1008.99333333333,257.62,11.6609208992361,9.71265307582623,7.15308800833438,1.19109024383163,355.745,329.55,776,198,-0.618849194654407,5194,3389.71921182266,1173,203,-0.284285637637882,879.295664900178,0,0,29,-0.0722097286212347,-0.997389470113079,0,-0.997389470113079,0.0722097286212347,0,0,0,1,8.7273711106957,7.32394876964837,1.04333579222236,279.345356871319,4720.93653112529,29,31,3,1,31,3,full,0,0.5,1
4,718.181910157831,233.784904896803,5081.5,0.915280698556464,14395,8000.9753136382,1217,1.09764825030132,0.80162506067151,0.939708000802482,1.60325012134302,1.02066072729769,3.03079583302181,42.8844629207279,39.1951929677016,32.5045460578927,2.08439125508278,4942,-0.115910103877253,1837.92145304276,9.22076082557669,92.2076082557669,933.63648320518,303.920376365844,55.7498017969463,50.9537508580121,42.2559098752605,2.70970863160761,8587.735,8351.98,718,234,1.13367887574215,14395,7992.50090525045,801,4971,-0.179594479869126,1849.58905244564,2,3,10,-0.825385957324371,-0.564568881051491,0,-0.564568881051491,0.825385957324371,0,0,0,1,41.9356811119188,37.6747658153451,5.17467905027215,34245.7191386629,578752.653443402,6,16,11,0.727272727272727,13,8,half,3,0.5,1
5,357.542626728111,280.166474654378,1804.5,0.0194248233896839,8582,5071.15898617512,1875,1.14675312626451,0.801444695259594,0.892589262037382,1.60288939051919,1.02043107892274,2.91653536262997,27.1606379730308,23.1723653157836,19.8307185436934,1.96144910418705,1736,-0.164574963054061,1045.53078507878,29.1088709677419,291.088709677419,464.805414746544,364.216417050691,35.30882936494,30.1240749105187,25.7799341068014,2.54988383544316,3049.605,2933.84,358,280,0.991456209408275,8582,5029.36997167139,529,1765,-0.482002554029392,1107.32745808904,0,0,29,-0.963785161696256,0.266679886932109,0,0.266679886932109,0.963785161696256,0,0,0,1,25.5733222171447,21.9454700848681,3.08872149963083,7261.04952913011,122711.737042299,27,33,7,1,33,7,full,0,0.5,1
6,1003.4427480916,295.021726365238,1754,-0.359166371458595,12182,7262.77216676453,1230,1.09806780782161,0.810952380952381,0.867330777873593,1.62190476190476,1.03253664032571,2.8062569008991,27.8217657846458,22.8496130209341,17.9131359233867,2.46848596153366,1703,-0.351159787718162,2147.33588878682,10.1180270111568,101.180270111568,1304.47557251908,383.528244274809,36.1682955200395,29.7044969272143,23.2870767004027,3.20903174999376,2964.26,2878.07,1003,295,-0.449930496508501,12182,7202.7134604275,1243,1731,-0.334317215202022,2183.67002364892,0,0,10,0.308983925729834,-0.951067260313686,0,-0.951067260313686,-0.308983925729834,0,0,0,1,26.5784056370419,20.6464865340955,3.06961799112393,7055.82861780196,119243.503640853,8,14,7,1,14,7,full,0,0.5,1
7,677.020843924759,330.955261820031,2096.5,3.32484140065403,13684,6905.46822572445,379,1.29444347772408,0.684529245814645,0.668643115008153,1.36905849162929,0.871569705298943,2.92256898566502,30.8185174304885,24.7504787635951,19.3904846034474,2.55803576896008,1967,-0.686514943304224,1750.03517327886,24.1433655312659,241.433655312659,880.127097102186,430.24184036604,40.064072659635,32.1756223926737,25.2076299844816,3.32544649964811,3543.085,3324.23,677,331,2.82659940550495,13684,6857.18653366584,357,2005,-0.612565026029663,1760.87054123585,0,0,24,-0.972352213134554,0.233519107595792,0,0.233519107595792,0.972352213134554,0,0,0,1,27.35327987229,23.3187464004564,3.29368170772851,8800.04404004437,148720.74427675,22,28,7,1,28,7,full,0,0.5,1
8,943.056393963463,340.232724384432,1344,-0.855077822115826,8382,4001.37887212073,1125,1.250093649114,0.756959057876084,0.866652295683804,1.51391811575217,0.963790206233303,3.05077096390256,22.9951466183628,19.4491737771618,12.8890949255563,1.84938726387266,1259,0.308803956313448,1565.48295556475,21.6338363780778,216.338363780778,1225.9733121525,442.302541699762,29.8936906038716,25.2839259103104,16.7558234032231,2.40420344303445,2271.36,2127.71,943,340,-0.788513798645634,8382,3940.05516705517,209,1287,0.247317401587535,1607.57560938141,1,0,22,0.67958357477282,-0.73359809493959,0,-0.73359809493959,-0.67958357477282,0,0,0,1,21.5921833383913,18.8991986217183,2.63193982740712,4498.8810824141,76031.0902927983,20,26,7,0.857142857142857,25,6,half,0,0.5,1
9,869.251655629139,369.653421633554,990,-0.615406686256534,65535,44248.6920529801,1369,1.42600395289154,0.743167632134354,0.923585587093968,1.48633526426871,0.946230417600654,3.36593945907744,19.6446775986855,16.5130747900273,12.8943489618234,1.67271266247056,906,-0.390893747463151,13951.9979994187,26.2406181015453,262.406181015453,1130.02715231788,480.54944812362,25.5380808782911,21.4669972270355,16.7626536503704,2.17452646121173,1673.1,1531.14,869,370,-0.835296997199677,65535,44009.7356446371,7960,923,-0.303440212486698,13885.7782923646,0,0,26,-0.999943490278948,-0.0106309100624231,0,-0.0106309100624231,0.999943490278948,0,0,0,1,17.8205209597804,16.4508731252399,2.22764061552632,2735.54010196811,46230.6277232611,25,29,5,1,29,5,full,0,0.5,1
10,105.201025891549,434.819980459209,8608.5,1.61650365306058,17393,5755.20762090865,879,1.62748370600729,0.719605191995673,0.732983829636504,1.43921038399135,0.91622978704563,3.41095909211444,66.6596742999677,49.5333353446674,30.0191968209974,7.64821323120353,8188,0.657784594099262,2184.78015837364,39.1724474841231,391.724474841231,136.761333659013,565.265974596971,86.657576589958,64.3933359480677,39.0249558672966,9.94267720056459,14548.365,13837.72,105,435,1.52567467535801,17393,5688.88904951211,719,8301,0.621238721885318,2208.81941537481,2,3,40,-0.677345285664374,-0.735665252671517,0,-0.735665252671517,0.677345285664374,0,0,0,1,55.6883006313039,47.4125545702031,6.70155558809796,74117.6352394256,1252588.03554629,34,48,15,0.6,42,9,half,3,0.5,1
